Sector,Ticker,Market Cap (Cr),PE Ratio,1Y Return %,ROE %,ROI %,Net Profit Margin %,Dividend Yield %,EBITDA (Cr),Cash & Equiv (Cr),Total Debt (Cr),Beta,start,end,fundamental_cluster,hierarchical_cluster
IT,TCS,1130254.3,23.71,-21.18,42.63,22.51,18.3,200.0,68208.0,56743.0,10821.0,0.3,0,99,0,1
IT,INFY,663897.77,23.27,-9.16,32.68,15.67,16.15,271.0,438.05,298.5,97.8,0.26,0,99,0,1
IT,WIPRO,248169.39,18.79,-19.81,15.2,6.77,14.59,709.0,16855.9,57394.9,19804.6,0.56,0,99,0,1
IT,HCLTECH,458770.4,27.98,2.45,23.19,12.87,13.02,314.0,284.9,349.2,79.1,0.2,0,99,0,1
IT,TECHM,154352.79,33.41,7.39,,,8.39,254.0,7575.77,7278.9,1954.4,0.21,0,99,0,1
IT,LTIM,177107.28,37.32,3.63,20.97,12.4,11.61,112.0,6855.9,14066.6,2333.2,0.31,0,99,0,1
IT,MPHASIS,52579.68,29.26,-1.86,18.7,9.34,11.72,206.0,2678.51,2975.91,2401.06,0.43,0,99,0,1
IT,COFORGE,55531.71,49.53,0.23,,,7.89,95.0,2260.9,571.2,971.5,0.17,0,99,0,1
IT,PERSISTENT,94366.83,54.63,0.6,24.97,15.13,12.43,72.0,2579.98,2212.79,429.96,0.32,0,99,0,1
IT,OFSS,67528.71,27.73,-9.58,,,33.34,166.0,3161.6,4843.1,34.0,0.12,0,99,0,1
BANKING,HDFCBANK,1429818.0,21.13,11.36,14.02,1.75,26.19,118.0,,127591.02,615833.51,0.46,0,99,1,0
BANKING,ICICIBANK,969122.25,18.51,8.75,16.8,2.14,27.51,80.0,,179377.34,215435.55,0.2,0,99,1,0
BANKING,AXISBANK,425797.85,16.26,39.29,13.62,1.56,34.17,7.0,,45378.91,261419.51,0.31,0,99,0,1
BANKING,SBIN,994276.02,11.98,44.08,15.68,1.15,22.62,149.0,,413643.44,650303.29,0.26,0,99,1,0
BANKING,KOTAKBANK,405776.11,21.6,7.41,,,24.56,12.0,,63920.94,82700.03,0.17,0,99,0,1
BANKING,INDUSINDBK,69813.0,,-6.37,,,-14.66,,,39777.86,45350.3,0.23,0,99,0,1
BANKING,BANDHANBNK,24913.67,24.74,5.27,,,12.81,99.0,,5330.47,8118.06,0.18,0,99,0,1
BANKING,FEDERALBNK,70769.78,17.43,56.52,,,29.05,42.0,,23373.36,26930.48,0.17,0,99,0,1
BANKING,IDFCFIRSTB,71859.95,45.67,37.04,3.44,0.41,6.61,30.0,,15501.02,40792.16,0.54,0,99,0,1
BANKING,PNB,143903.45,8.08,33.46,12.71,0.95,34.67,232.0,,151005.32,114758.36,0.5,0,99,1,0
FMCG,HINDUNILVR,557558.01,51.2,0.33,21.82,10.23,16.95,183.0,14203.0,8246.0,1775.0,0.25,0,99,0,1
FMCG,ITC,403629.12,19.82,-23.6,,,43.71,493.0,26941.32,,,,0,99,0,1
FMCG,NESTLEIND,256928.62,86.91,21.46,70.79,22.59,14.07,155.0,4689.28,365.89,476.85,0.24,0,99,0,1
FMCG,DABUR,89855.14,48.66,-3.62,,,14.2,157.0,2413.31,,,,0,99,0,1
FMCG,BRITANNIA,141160.86,60.95,16.98,66.23,20.03,12.57,131.0,3352.23,920.58,2196.3,0.57,0,99,0,1
FMCG,MARICO,94528.92,55.25,10.24,,,13.18,144.0,2201.75,1689.0,575.0,0.09,0,99,0,1
FMCG,GODREJCP,118092.66,64.87,5.37,,,12.0,173.0,2982.74,2678.78,4113.49,0.22,0,99,0,1
FMCG,COLPAL,57503.2,43.32,-22.05,,,22.67,241.0,1805.83,,,,0,99,0,1
FMCG,UBL,38827.9,106.03,-30.52,8.55,4.29,3.96,70.0,757.15,294.08,776.87,0.12,0,99,0,1
FMCG,TATACONSUM,112205.22,76.41,18.17,,,7.54,75.0,2646.27,2291.75,2576.11,0.33,0,99,0,1
PHARMA,SUNPHARMA,382765.92,36.63,-7.41,14.22,8.57,19.01,101.0,15668.2,27880.43,5215.1,0.16,0,99,0,1
PHARMA,DRREDDY,101415.13,17.93,2.62,16.1,7.96,16.36,66.0,8478.6,8258.9,6773.2,0.32,0,99,0,1
PHARMA,CIPLA,106950.16,23.53,-8.19,,,16.26,98.0,6368.78,10602.24,467.37,0.04,0,99,0,1
